,visitor_id,visitor_location,marketing_channel,gender,product_views_Mon,product_views_Tue,product_views_Wed,product_views_Thu,product_views_Fri,avg_rating_Mon,avg_rating_Tue,avg_rating_Wed,avg_rating_Thu,avg_rating_Fri,avg_price_Mon,avg_price_Tue,avg_price_Wed,avg_price_Thu,avg_price_Fri,time_on_site_Mon,time_on_site_Tue,time_on_site_Wed,time_on_site_Thu,time_on_site_Fri,pages_visited_Mon,pages_visited_Tue,pages_visited_Wed,pages_visited_Thu,pages_visited_Fri,converted_Fri
38,39,Asia,facebook,M,0,2,5,2,0,4.9,1.6,3.5,2.1,2.48,98.24,94.33,78.2,72.96,26.3,20,32,48,52,41,4,3,1,5,1,0
39,40,North America,facebook,M,1,5,2,1,0,3.29,1.32,2.81,1.99,4.39,24.32,43.31,76.77,94.62,25.12,27,27,51,38,34,5,3,4,7,3,0
40,41,Asia,instagram,M,2,4,0,0,0,2.43,4.66,3.79,4.01,3.27,74.29,33.58,63.72,21.75,92.0,40,25,39,26,36,6,3,5,4,3,0
41,42,North America,youtube,F,2,0,0,5,3,3.1,3.91,4.62,1.16,4.9,79.34,66.74,67.09,31.96,65.97,49,34,47,24,23,7,4,6,5,7,0
42,43,South America,instagram,M,1,0,7,1,3,1.24,4.88,2.61,3.63,4.52,69.83,46.11,77.69,78.83,35.72,26,26,21,33,38,3,3,3,4,4,0
43,44,North America,facebook,M,4,5,4,0,2,2.5,4.23,3.0,3.49,3.15,68.28,44.08,70.52,31.44,87.23,23,47,29,44,50,1,6,6,4,1,0
44,45,Australia,facebook,F,5,5,0,0,2,1.77,1.39,1.39,4.41,1.22,56.91,45.1,25.94,66.38,78.41,56,43,22,54,39,2,7,2,5,4,0
45,46,South America,facebook,F,2,5,4,5,0,1.42,1.96,3.59,1.48,3.1,66.83,90.15,36.51,42.55,21.53,58,25,44,36,40,4,5,6,7,4,0
46,47,North America,instagram,M,1,1,6,6,2,1.46,3.18,1.62,2.47,2.94,80.41,20.28,74.05,70.1,72.43,33,31,56,54,42,4,3,1,2,6,0
47,48,Europe,instagram,F,3,1,4,0,4,3.33,2.36,4.71,2.6,3.95,60.95,73.65,35.99,88.68,78.27,45,36,20,51,55,6,4,7,1,2,0
48,49,Europe,instagram,F,5,1,7,0,0,3.83,1.14,4.88,3.52,4.86,58.42,60.22,69.89,28.48,74.89,45,25,41,54,44,5,6,4,5,5,0
49,50,South America,google,M,3,1,0,0,0,1.69,3.94,2.82,4.46,3.78,57.76,47.17,93.3,82.24,25.78,58,33,31,27,54,5,2,2,6,4,0
50,51,North America,organic,F,1,5,0,0,5,4.21,2.21,4.97,1.33,4.48,65.0,52.41,83.48,28.47,76.74,39,53,21,28,59,1,6,1,5,5,0
51,52,South America,google,F,0,4,4,5,0,3.88,1.68,4.02,4.95,4.61,84.92,49.11,53.59,92.5,36.51,31,55,26,44,52,6,7,3,1,1,1
52,53,Australia,youtube,M,3,3,7,0,4,4.5,2.18,1.18,2.5,4.56,41.38,42.75,98.29,93.37,78.95,41,55,39,25,34,7,5,5,4,5,0
53,54,Europe,google,F,2,2,5,5,5,1.24,4.72,4.69,2.49,4.14,94.7,62.4,80.95,27.2,40.92,33,39,60,44,42,3,2,5,7,4,1
54,55,Australia,instagram,M,2,1,2,5,0,3.05,2.58,3.38,1.04,4.9,80.07,75.59,75.9,53.2,76.98,21,42,46,20,59,4,4,4,5,5,0
55,56,Europe,instagram,M,3,1,3,5,5,1.59,1.39,1.06,3.82,2.57,59.78,55.39,75.62,67.45,74.68,38,60,39,50,38,5,6,7,2,3,1
56,57,Australia,youtube,M,2,3,2,4,0,4.29,2.12,4.73,1.51,3.36,92.78,50.86,98.89,37.74,34.54,21,60,25,59,38,6,1,5,3,1,0
57,58,South America,organic,M,5,3,4,0,0,3.23,3.17,4.07,1.98,1.27,80.67,95.79,58.69,74.05,86.62,33,47,48,24,53,7,7,1,1,4,0
58,59,Asia,instagram,M,1,1,4,5,5,3.13,3.57,3.45,4.14,1.14,49.65,27.68,22.63,32.26,58.74,44,34,28,39,23,4,2,7,2,4,1
59,60,Asia,instagram,M,3,1,5,0,5,2.19,3.07,4.1,3.79,3.89,47.1,42.6,50.9,50.76,88.86,37,20,31,58,27,6,3,1,3,4,0
60,61,South America,instagram,F,1,3,4,5,4,2.3,4.65,1.48,3.81,4.93,90.14,73.02,99.5,56.46,23.33,44,49,57,45,29,6,7,5,2,7,1
61,62,North America,facebook,F,0,4,1,8,0,4.87,3.19,3.4,2.3,2.42,30.42,81.38,87.33,53.92,60.21,30,24,50,56,26,5,4,6,2,1,0
62,63,South America,youtube,F,2,2,8,0,6,2.01,3.91,4.12,2.68,2.22,33.46,60.77,70.46,35.86,95.35,32,45,34,58,60,2,7,5,2,5,0
63,64,Australia,instagram,M,1,3,2,5,2,2.28,3.93,1.72,1.06,4.32,42.28,48.22,94.91,53.36,50.82,57,42,37,57,44,3,4,6,4,1,1
64,65,Asia,instagram,M,3,3,0,7,0,1.23,2.28,3.35,3.69,2.73,33.09,54.82,30.28,46.53,26.23,44,52,55,43,37,4,5,6,7,6,0
65,66,Europe,youtube,F,5,4,1,3,5,4.77,4.49,1.33,3.5,3.21,91.54,88.17,92.58,87.59,77.51,57,54,33,40,24,3,6,2,3,7,1
66,67,North America,organic,M,5,2,0,3,0,3.15,3.82,4.17,2.27,3.77,84.74,89.29,41.6,71.6,76.29,51,55,52,43,27,1,3,7,7,4,0
67,68,South America,youtube,F,1,5,1,5,2,2.87,3.78,2.13,1.5,2.52,22.47,59.49,45.91,63.44,20.05,35,27,23,59,40,5,7,7,6,5,1
68,69,Australia,youtube,F,1,2,0,1,0,2.96,3.66,2.66,2.14,2.21,79.15,37.04,30.06,56.59,88.23,44,26,50,26,43,6,2,5,7,2,0
69,70,Europe,instagram,F,3,0,0,5,0,2.35,3.56,1.1,2.24,1.72,63.45,98.69,47.19,57.97,82.91,40,23,35,56,60,3,5,6,7,3,0
70,71,Asia,youtube,F,0,2,0,5,0,3.14,4.54,3.53,2.08,2.02,41.92,33.4,77.98,66.93,42.27,49,24,22,27,50,1,3,1,6,4,0
71,72,Europe,google,F,5,4,3,5,0,1.1,4.77,4.77,1.55,1.76,33.45,45.89,77.32,45.98,92.16,43,57,50,22,57,7,4,2,6,2,0
72,73,North America,facebook,F,0,2,1,1,5,4.05,3.95,1.84,3.37,4.03,28.2,60.6,53.59,43.27,99.02,28,22,44,40,51,7,5,2,2,5,1
73,74,Europe,instagram,M,0,0,8,0,0,1.88,3.4,4.45,3.58,2.45,22.99,72.02,79.97,71.06,92.96,20,32,30,40,60,7,5,5,3,3,0
74,75,Europe,organic,M,1,2,6,0,0,2.47,3.15,4.15,1.61,2.01,80.75,47.21,62.63,93.04,46.37,37,55,47,37,40,3,2,1,5,2,0
75,76,Europe,facebook,F,5,0,4,5,4,3.84,4.93,4.75,2.42,4.03,42.5,46.72,45.89,86.69,50.41,43,35,59,28,60,7,5,6,5,1,1
76,77,Australia,youtube,F,1,2,6,5,0,3.83,2.8,2.02,2.61,4.47,67.04,62.51,92.63,21.1,52.96,54,31,31,29,28,4,6,7,4,3,0
77,78,Europe,facebook,F,4,0,0,3,5,4.52,1.34,4.34,4.0,1.35,41.31,30.91,65.26,85.14,20.84,58,48,36,45,22,3,6,5,6,7,0
78,79,Asia,facebook,F,4,4,5,5,-1,4.06,4.36,4.89,2.07,3.39,53.19,21.75,63.12,81.12,54.04,42,26,26,43,38,6,1,5,4,7,1
79,80,South America,facebook,M,5,2,0,1,0,1.54,1.5,4.73,1.45,4.63,32.14,73.54,32.29,64.59,84.31,35,22,31,52,53,4,5,6,6,6,0
80,81,Asia,facebook,M,5,2,1,5,1,4.28,1.68,4.39,2.59,1.11,70.51,92.99,65.22,26.66,45.69,45,58,39,52,38,3,6,3,6,3,0
81,82,Europe,organic,F,0,3,8,2,0,3.59,2.3,3.09,4.42,3.19,86.61,21.64,74.74,69.23,85.55,48,37,51,59,38,3,1,5,4,2,0
82,83,North America,google,M,2,5,3,1,0,4.12,2.0,3.24,2.86,1.24,90.36,52.39,74.11,88.51,99.37,33,50,36,45,41,5,6,6,2,2,1
83,84,Australia,facebook,F,2,2,0,0,1,2.95,2.66,4.47,4.61,2.65,46.89,39.35,94.32,37.1,94.33,51,36,34,55,35,3,6,7,4,3,0
84,85,South America,instagram,F,2,2,3,6,3,2.53,4.91,4.42,3.68,1.37,42.62,40.81,45.54,39.62,46.82,39,54,30,26,34,6,1,2,2,6,0
85,86,Europe,organic,F,3,2,3,3,0,4.33,1.57,1.64,4.93,2.23,89.28,93.62,37.9,39.07,40.22,47,51,39,27,51,2,3,6,3,2,0
86,87,South America,organic,F,1,0,5,4,5,1.11,3.67,3.7,2.59,2.33,52.14,25.02,73.85,48.56,92.32,50,26,29,50,42,7,4,7,4,1,0
87,88,South America,organic,M,1,3,8,0,2,3.61,2.71,2.69,4.58,4.16,35.53,91.69,91.97,57.11,52.03,42,51,24,26,21,3,3,1,4,7,0
88,89,North America,facebook,F,4,2,0,5,5,3.16,3.33,2.63,1.17,1.09,58.04,87.93,99.24,94.76,24.41,44,47,58,27,52,1,7,1,5,4,1
89,90,Asia,youtube,F,1,3,1,-4,2,4.26,4.31,4.99,4.07,3.24,30.04,27.65,45.39,30.92,83.74,48,49,50,49,27,2,3,6,6,5,1
90,91,Australia,organic,M,5,4,0,0,0,1.97,3.21,2.69,4.69,4.06,50.41,82.54,89.56,76.34,67.59,31,36,44,40,55,6,5,7,3,4,0
91,92,Europe,youtube,F,1,5,2,5,5,4.54,4.43,4.34,3.65,4.7,36.22,28.86,39.19,29.42,63.78,50,21,31,33,21,5,1,6,3,7,1
92,93,Australia,instagram,F,4,1,2,7,2,1.96,4.74,2.18,4.85,2.64,23.97,56.87,28.06,43.08,37.73,42,39,57,22,22,7,6,6,3,5,0
93,94,Europe,organic,F,3,3,4,0,0,3.94,4.97,2.72,4.44,4.95,72.15,86.46,25.22,42.14,20.42,26,41,42,43,50,7,7,7,4,1,0
94,95,Asia,youtube,F,1,2,2,5,0,4.64,4.77,1.56,3.39,3.06,80.84,57.3,83.2,62.3,60.78,25,56,32,34,45,5,5,5,2,6,0
95,96,North America,organic,M,4,1,4,0,1,1.4,2.73,2.25,2.62,1.48,36.24,40.36,22.1,65.95,48.58,48,49,58,59,26,4,3,6,2,2,0
96,97,Australia,youtube,M,4,5,0,0,0,3.45,4.79,3.73,3.77,4.41,20.98,88.42,41.22,57.1,21.18,58,54,39,42,58,5,6,4,7,6,0
97,98,Australia,facebook,F,3,1,0,0,0,3.95,2.17,1.49,3.17,1.86,20.03,79.37,97.54,35.99,74.18,31,32,57,48,27,3,6,1,7,1,0
98,99,North America,google,F,1,1,0,0,0,4.41,2.51,2.09,1.48,2.36,71.47,65.44,42.35,76.38,85.83,55,33,45,48,44,5,4,7,5,4,0
99,100,North America,instagram,F,1,2,0,0,0,2.81,2.3,3.76,3.82,2.17,56.24,44.86,40.86,90.01,28.23,55,56,34,20,43,7,4,1,4,2,0
100,101,Asia,facebook,F,3,1,4,3,5,4.06,3.83,3.88,4.81,4.62,36.1,67.02,63.51,25.8,22.07,31,42,26,28,49,1,3,4,3,3,1
101,102,Europe,youtube,M,5,0,1,5,1,2.28,1.78,4.16,1.68,1.76,77.03,96.28,27.06,73.05,90.66,30,58,25,60,20,3,6,6,4,5,1
102,103,South America,google,F,0,5,6,3,1,1.03,1.45,1.75,4.47,2.7,42.58,46.22,52.63,83.02,46.65,23,48,43,35,22,2,2,1,7,6,0
103,104,South America,organic,M,3,1,2,5,0,2.35,4.98,4.52,3.97,3.43,78.98,56.53,30.09,85.39,73.47,48,60,28,44,42,5,1,4,6,7,0
104,105,North America,facebook,F,4,3,0,2,2,3.43,3.41,4.19,1.17,1.38,79.72,32.77,41.4,44.14,49.33,57,35,29,31,30,2,2,2,4,6,1
105,106,Asia,youtube,F,2,2,2,5,5,4.78,4.1,1.44,4.04,3.99,82.84,44.33,35.74,77.81,50.19,52,24,27,20,39,7,1,4,6,3,1
106,107,Asia,organic,F,1,4,0,0,1,1.18,2.36,3.86,1.81,1.88,37.98,65.98,20.93,72.21,52.6,29,50,53,55,42,1,1,2,3,7,0
107,108,South America,organic,F,1,3,5,0,5,4.74,2.65,4.62,1.25,2.08,82.41,52.39,79.27,59.59,22.66,46,26,44,42,33,3,3,2,7,5,0
108,109,South America,facebook,M,3,3,0,0,0,1.97,1.44,1.63,4.89,4.57,80.61,88.4,25.59,95.01,73.16,38,47,38,40,40,2,5,5,7,5,0
109,110,North America,organic,M,0,2,0,0,0,2.29,3.41,1.06,3.49,1.32,67.8,55.03,85.82,23.77,64.51,27,49,26,36,55,2,4,5,7,5,0
110,111,South America,facebook,F,4,1,8,3,0,4.85,2.43,3.7,4.03,1.58,95.45,47.75,40.13,96.82,93.72,50,50,25,56,26,3,6,5,4,7,0
111,112,Australia,facebook,F,3,4,2,0,0,2.37,3.85,2.52,3.04,4.02,60.73,22.66,38.85,41.24,73.99,46,46,51,21,35,2,6,4,2,4,0
112,113,South America,google,F,5,4,2,5,5,1.33,1.85,2.09,1.34,1.71,55.28,50.36,89.99,95.59,77.9,22,29,30,30,36,3,2,2,7,2,1
113,114,Europe,organic,F,3,1,7,3,4,3.19,4.63,2.02,2.0,2.71,61.71,62.55,64.5,35.52,65.75,33,44,52,25,35,1,3,4,3,3,0
114,115,North America,google,M,4,2,1,5,5,2.75,1.13,1.68,3.37,2.44,85.3,84.3,32.89,73.58,66.87,24,26,23,54,58,7,4,1,4,1,1
115,116,Asia,instagram,F,3,5,2,5,-2,2.02,3.08,4.88,4.29,2.55,78.07,89.73,81.25,73.73,20.28,50,52,40,35,52,1,3,5,3,5,1
116,117,Asia,google,M,3,0,0,0,2,4.36,4.58,4.81,2.06,1.65,65.1,73.32,92.97,55.71,76.47,23,30,60,59,44,1,6,1,7,2,0
117,118,North America,facebook,F,5,1,3,-2,5,1.53,4.51,4.39,1.68,3.74,36.36,74.62,81.75,94.67,88.72,53,24,51,56,47,5,6,4,7,4,1
118,119,Europe,google,M,4,5,2,5,3,3.47,2.2,1.19,4.4,4.02,70.85,61.44,43.68,77.4,40.94,46,24,56,31,41,6,7,4,5,2,1
119,120,South America,facebook,M,4,3,3,5,5,2.27,2.64,4.84,3.63,4.71,31.82,86.3,89.68,58.78,79.6,36,44,32,34,25,5,7,4,1,2,1
120,121,North America,organic,F,4,2,4,5,5,3.9,2.4,4.43,1.69,1.35,77.42,74.17,57.11,26.96,37.94,33,26,48,45,22,4,2,7,2,2,1
121,122,North America,instagram,F,3,4,1,5,2,3.69,3.21,2.28,4.42,2.84,73.88,71.32,69.51,69.83,54.43,40,55,55,35,30,5,1,6,1,7,1
122,123,North America,facebook,F,4,5,2,5,5,1.25,1.06,3.58,3.09,3.4,98.77,23.79,72.72,93.2,83.61,50,59,29,22,30,2,5,1,1,7,1
123,124,Europe,organic,M,3,3,0,0,1,2.13,1.93,3.68,2.54,4.31,48.51,27.42,35.71,60.39,50.01,30,50,22,48,38,6,7,4,3,2,0
124,125,Australia,google,F,3,0,1,5,2,2.67,2.25,4.47,3.02,1.02,30.89,79.35,77.99,67.04,86.52,25,36,42,54,45,4,6,2,1,4,1
125,126,Europe,facebook,F,2,0,3,3,5,2.19,4.55,2.02,4.22,1.42,93.54,51.26,73.7,65.21,60.4,27,42,48,20,40,4,3,6,4,6,1
126,127,Europe,facebook,M,5,0,8,2,0,4.32,2.42,4.54,2.64,1.82,46.3,55.66,22.04,55.44,72.25,47,34,52,38,42,1,5,5,7,6,0
127,128,Australia,google,M,5,4,4,0,0,3.43,4.9,4.31,1.34,3.65,70.3,78.85,73.34,52.68,89.87,44,23,53,51,40,6,4,7,1,4,0
128,129,Australia,youtube,M,4,2,5,0,0,1.39,1.77,4.09,2.22,2.44,23.38,80.64,50.37,21.7,25.99,38,59,22,56,28,2,4,2,7,6,0
129,130,Australia,google,F,2,0,0,4,1,2.22,2.96,3.24,3.39,1.58,42.27,75.81,99.32,29.57,44.45,39,36,39,35,39,6,7,3,4,4,0
130,131,Australia,google,F,4,1,5,2,3,4.78,1.02,2.33,3.78,2.02,50.54,38.27,41.36,93.6,47.15,47,46,43,47,30,4,1,1,2,2,0
131,132,South America,organic,F,2,4,0,0,0,2.22,2.2,4.85,4.06,1.67,48.94,52.54,21.58,21.84,54.92,45,28,59,45,60,7,2,2,3,4,0
132,133,South America,instagram,F,0,0,0,0,0,3.15,3.51,2.77,4.89,1.31,28.23,50.54,50.47,50.19,86.94,28,25,52,48,48,7,1,5,6,1,0
133,134,South America,instagram,F,1,1,3,1,1,3.83,4.86,3.03,2.69,1.66,67.56,95.14,31.91,92.12,27.7,53,28,42,25,41,3,7,1,3,2,0
134,135,North America,instagram,F,1,3,1,4,5,3.39,3.19,3.82,3.86,3.76,34.54,63.59,20.66,38.46,38.38,32,47,21,52,24,3,4,5,4,4,1
135,136,Australia,instagram,M,4,3,1,2,3,3.72,2.74,3.45,2.95,1.01,71.02,46.94,25.6,67.29,61.48,20,25,59,34,38,1,5,3,1,3,1
136,137,Europe,google,M,1,2,3,0,1,3.13,1.08,4.35,1.0,4.64,56.94,77.27,98.64,22.44,29.77,33,38,21,25,53,4,3,2,1,1,0
137,138,South America,organic,M,2,1,4,0,5,2.53,4.91,4.77,1.43,2.98,24.61,86.46,94.59,55.01,68.28,20,57,46,44,54,4,7,7,6,2,0
138,139,South America,facebook,F,3,0,0,0,0,2.43,4.48,2.07,2.54,2.24,51.64,39.8,50.0,26.65,88.6,60,55,29,22,22,1,2,5,5,1,0
139,140,Europe,google,F,5,1,1,5,5,2.76,2.38,3.3,2.61,2.48,71.42,30.87,31.16,48.19,29.5,41,40,34,32,25,5,5,1,3,3,1
140,141,Australia,google,F,2,5,2,0,-3,1.77,2.71,1.43,1.09,1.85,36.38,97.72,64.52,30.8,80.88,46,22,33,56,58,6,6,2,7,3,1
141,142,South America,instagram,F,2,1,4,5,5,4.33,4.59,3.65,4.33,1.45,53.93,37.12,46.52,31.73,50.59,44,28,47,33,58,3,4,1,1,4,1
142,143,Europe,facebook,M,4,5,5,5,5,2.75,3.09,1.5,4.06,3.3,74.12,73.32,58.35,51.08,72.77,38,54,44,41,53,5,7,5,2,3,0
143,144,Asia,google,F,4,1,7,6,0,4.42,1.91,1.76,4.52,2.47,25.43,65.26,67.15,57.62,57.21,24,21,59,33,36,1,7,6,3,3,0
144,145,Australia,facebook,F,3,2,5,0,0,3.91,4.73,1.09,1.59,3.15,35.81,89.29,21.0,25.95,89.9,31,40,41,41,33,3,5,1,5,6,0
145,146,North America,youtube,F,5,0,2,2,4,3.37,3.24,3.73,1.83,4.77,47.65,76.53,35.66,21.65,71.05,56,29,46,27,54,4,2,7,2,2,1
146,147,North America,organic,F,4,0,0,4,0,2.94,1.18,1.58,1.4,1.65,37.04,34.67,51.84,58.4,76.4,53,38,53,39,30,6,4,1,6,6,0
147,148,Asia,google,F,3,5,0,0,0,2.35,4.47,3.8,2.74,2.65,27.73,83.96,29.1,90.7,52.04,32,48,53,59,52,5,1,7,7,7,0
148,149,Asia,instagram,M,1,0,0,0,0,4.39,4.12,2.04,3.65,3.39,52.66,96.98,55.11,84.47,35.3,60,31,45,26,42,4,1,6,1,7,0
149,150,Australia,instagram,M,4,5,4,0,0,4.53,4.89,3.51,4.97,3.85,93.49,66.82,82.21,50.43,87.7,26,21,30,60,45,1,3,1,6,6,0
150,151,North America,organic,M,3,2,3,2,0,3.7,1.85,4.57,3.35,4.4,94.39,80.8,39.79,69.07,44.63,31,60,39,27,51,1,4,5,6,3,0
151,152,Europe,google,M,0,1,6,3,1,3.19,4.25,4.25,4.23,2.03,67.35,24.85,45.17,31.36,79.04,27,46,48,50,31,5,3,2,6,4,0
152,153,Australia,facebook,F,4,0,0,3,1,4.74,1.39,4.1,3.21,1.69,27.45,47.09,58.93,89.58,34.75,31,56,37,23,43,7,6,7,4,1,0
153,154,South America,facebook,M,5,0,3,-2,5,2.65,1.93,2.7,2.57,3.45,85.7,88.0,47.29,88.0,64.88,58,37,29,55,24,3,6,5,4,7,1
154,155,Asia,organic,F,3,1,5,-1,4,2.82,4.98,3.99,2.82,4.45,66.94,68.28,96.14,64.26,59.81,38,33,39,48,57,5,1,6,6,3,1
155,156,Australia,youtube,M,4,3,6,0,0,1.15,3.75,4.24,1.24,1.65,40.41,99.7,98.42,37.69,23.31,36,21,34,48,56,4,2,2,4,4,0
156,157,South America,youtube,M,5,5,0,2,2,1.16,3.54,4.31,2.44,2.48,27.3,54.47,80.23,42.16,66.99,34,30,35,21,46,1,4,7,6,2,0
157,158,North America,organic,F,4,3,4,5,5,1.0,1.74,4.31,2.42,1.7,87.19,62.09,59.79,69.05,38.73,43,38,38,24,41,5,1,6,3,2,1
