userID,age,sessions,time_spent,pages_visited,cart_items,cart_value,checkout_status,device,location
40,32,9,32.27693538,8,6,75.47,0,Mobile,Location 3
41,57,5,32.45334824,6,13,111.14,1,Mobile,Location 3
42,50,2,21.84271618,5,24,225.24,0,Desktop,Location 2
43,19,7,22.03641015,4,15,132.9,0,Desktop,Location 3
44,27,2,37.15872555,9,13,119.92,1,Mobile,Location 1
45,50,3,22.21015175,4,12,138.52,0,Tablet,Location 4
46,49,4,10.51532715,1,13,113.64,0,Desktop,Location 1
47,28,1,30.80038635,7,11,95.21,1,Desktop,Location 3
48,41,5,26.56749124,7,9,101.58,1,Mobile,Location 1
49,53,6,31.39724054,9,25,163.38,0,Tablet,Location 1
50,29,4,25.2904278,7,8,56.42,1,Desktop,Location 5
51,46,9,33.2249619,7,16,156.9,1,Desktop,Location 3
52,52,8,36.51368164,10,25,225.26,0,Desktop,Location 1
53,18,9,45,10,12,119.7,0,Desktop,Location 5
54,18,9,5,1,14,109.15,0,Mobile,Location 2
55,54,3,25.0381509,6,18,222.55,1,Tablet,Location 3
56,23,6,15.95378193,1,24,144.78,0,Desktop,Location 2
57,56,4,23.60079264,4,5,52.87,0,Desktop,Location 5
58,58,8,19.4907049,4,14,147.34,0,Desktop,Location 5
59,35,7,8.027938181,2,10,107.25,0,Desktop,Location 1
60,33,4,26.02097153,6,17,121.32,1,Desktop,
61,22,6,14.43895832,4,18,154.84,0,Desktop,Location 1
62,59,6,26.46620665,6,19,225.09,1,Desktop,Location 4
63,60,5,8.335138478,1,6,54.29,0,Desktop,Location 1
64,49,4,39.96282914,11,17,200.68,1,Desktop,Location 4
65,19,3,42.21184294,10,9,85.46,0,Desktop,Location 4
66,19,2,21.72752488,6,15,208.91,0,Desktop,Location 4
67,57,7,27.03014239,5,14,148.33,1,Mobile,Location 2
68,59,1,37.98938657,8,13,124.56,1,Desktop,Location 3
69,53,1,27.50089632,4,8,96.27,1,Mobile,Location 4
70,56,7,22.69986729,7,6,43.01,0,Desktop,Location 1
71,29,4,28.60088637,8,14,146.78,1,Desktop,Location 4
72,64,9,38.94198008,10,22,173.18,0,Mobile,Location 3
73,36,4,31.06056468,7,9,50.18,1,Desktop,Location 4
74,45,4,15.43077696,3,22,285.35,0,Desktop,Location 2
75,18,8,25.27515341,6,23,165.22,0,Desktop,Location 2
76,32,5,37.30113547,8,15,161.62,1,Desktop,Location 3
77,53,9,18.25054556,2,7,69.66,0,Mobile,Location 1
78,30,7,28.40193687,6,16,113.86,1,Desktop,Location 2
79,60,7,33.39876409,8,7,63.7,0,Mobile,Location 2
80,38,8,16.07428031,1,8,69.84,0,,Location 4
81,29,3,38.39375936,8,25,154.46,0,Desktop,Location 1
82,22,6,28.78833593,8,8,68.7,1,Tablet,Location 1
83,24,5,33.81445537,9,21,194.31,0,Tablet,Location 3
84,22,1,9.239549514,1,10,118.43,0,Tablet,Location 4
85,65,6,8.793081218,1,25,225.54,0,Desktop,Location 5
86,21,7,33.64302252,9,8,83.59,1,Tablet,Location 2
87,30,7,18.80004885,5,23,270.76,0,Mobile,Location 5
88,54,9,32.69215051,8,19,120.28,1,Tablet,Location 2
89,58,6,22.14938198,5,24,234.93,0,Desktop,Location 3
90,32,3,14.96630443,3,7,66.77,0,Desktop,Location 1
91,33,4,28.96580506,8,21,208.93,0,Desktop,Location 3
92,38,8,38.41479203,9,20,183.16,1,Mobile,Location 4
93,53,4,45,9,9,93.36,0,Desktop,Location 4
94,41,6,23.61240815,5,22,262.93,0,Mobile,Location 1
95,33,2,24.75172396,5,15,137.94,0,Mobile,Location 3
96,31,2,35.2629231,7,10,72.19,1,Mobile,Location 1
97,39,1,27.37017438,8,24,199.05,0,Desktop,Location 2
98,23,5,14.60844434,3,7,52.85,0,Desktop,Location 4
99,59,4,9.226850751,2,22,320.54,0,Desktop,Location 2
100,53,4,32.20574854,7,11,94.59,1,Desktop,Location 2
101,18,5,20.53223351,5,5,34.48,0,Desktop,Location 3
102,49,4,12.6655023,4,9,56.74,0,Mobile,Location 5
103,23,6,45,12,5,50.19,0,Mobile,Location 5
104,48,9,31.82999817,8,15,134.9,1,Desktop,Location 3
105,18,2,12.5181268,2,11,64,0,Mobile,Location 4
106,54,4,20.13968252,5,5,29.79,0,Tablet,Location 1
107,52,1,23.13108479,5,8,65.96,0,Mobile,Location 4
108,47,7,35.58466472,8,9,79.37,1,Desktop,Location 3
109,21,5,27.04634214,5,6,60.9,0,Mobile,Location 1
110,52,8,27.05577755,5,5,46.91,0,Desktop,Location 1
111,60,7,39.68649001,8,11,96.25,1,Desktop,Location 5
112,31,6,28.22138023,4,10,119.78,1,Desktop,Location 3
113,57,7,37.00689891,9,10,89.48,1,Tablet,Location 3
114,39,1,25.96934123,4,20,149.98,1,Mobile,Location 5
115,27,8,17.61541585,1,8,72.35,0,Desktop,Location 3
116,18,8,25.31763306,6,24,256.5,0,Desktop,Location 4
117,28,2,35.67518197,9,6,43.62,0,Desktop,Location 3
118,61,1,25.2774463,5,16,180.82,1,Desktop,Location 3
119,41,3,39.13710187,8,7,56.69,0,Mobile,Location 3
120,20,7,22.82525039,5,19,139.1,0,Desktop,Location 5
121,52,7,20.62775886,5,25,248.65,0,Desktop,Location 5
122,53,8,28.04871311,7,7,74.66,0,Mobile,Location 2
123,48,5,16.26017731,3,12,114.2,0,Mobile,Location 3
124,21,4,29.44224408,7,10,111.31,1,Mobile,Location 4
125,36,4,27.08645221,6,11,105.26,1,Desktop,Location 1
126,64,6,11.35744651,4,6,48.42,0,Desktop,Location 1
127,53,2,9.692490269,1,12,117.37,0,Tablet,Location 2
128,38,1,12.40110398,2,22,190.62,0,Mobile,Location 1
129,35,2,19.19578254,4,25,262.34,0,Tablet,Location 4
130,45,3,22.95232663,5,18,201.39,0,Desktop,Location 4
131,32,6,21.81422281,4,8,71.97,0,Mobile,Location 3
132,59,5,13.794702,2,24,257.71,0,Desktop,Location 1
133,19,3,19.40703624,6,11,64.77,0,Desktop,Location 4
134,54,7,24.95726164,4,6,69.42,0,Desktop,Location 2
135,28,5,24.89770938,6,10,117.08,0,Desktop,Location 4
136,40,2,35.31140491,8,16,170.12,1,Mobile,Location 1
137,61,1,25.41889122,6,20,140.39,1,,Location 4
138,58,8,20.83674564,5,6,62.35,0,Desktop,Location 4
139,29,9,15.3223907,3,10,110.07,0,Desktop,Location 4
140,20,3,35.44343451,8,15,156.73,1,Desktop,Location 5
141,34,9,30.38505161,9,5,47.88,0,Desktop,Location 4
142,50,6,31.13984272,6,16,136.83,1,Mobile,Location 4
143,18,4,26.75165884,6,23,145.16,0,Desktop,Location 3
144,56,3,34.71767178,8,9,74.87,1,Mobile,Location 4
145,37,3,10.36595042,1,12,97.32,0,Desktop,Location 1
146,64,7,13.35862421,4,5,75.97,0,Desktop,Location 1
147,60,9,24.61222153,5,20,263.6,0,Mobile,Location 5
148,58,2,25.26640034,5,6,48.68,0,Desktop,Location 1
149,31,5,27.1279643,5,22,267.34,0,Mobile,Location 5
150,48,2,5,1,10,52.41,0,Mobile,Location 5
151,42,4,13.92133792,5,22,261.76,0,Mobile,Location 5
152,20,8,16.23119621,4,25,130.46,0,Desktop,Location 2
153,21,4,28.89994324,8,13,129.53,1,Desktop,Location 1
154,48,1,22.33524712,3,6,60.75,0,Desktop,Location 3
155,52,8,28.95317341,6,25,165.09,0,Desktop,Location 1
156,61,4,7.472347567,2,22,162.43,0,Desktop,Location 3
157,31,1,25.48344393,6,25,221.72,0,Tablet,Location 5
158,58,9,11.83567784,4,5,50.65,0,Mobile,Location 4
159,26,4,19.65161194,4,6,53.01,0,Desktop,Location 3
160,37,8,34.02517131,7,14,159.02,1,Desktop,Location 2
161,49,5,25.25082946,5,7,51.32,0,Tablet,Location 2
162,26,2,20.76744875,6,17,176.44,0,Desktop,Location 2
163,44,7,30.16930992,9,23,243.26,0,Mobile,Location 2
164,20,5,29.1337067,6,25,191.44,0,Desktop,Location 5
165,21,4,9.561169858,1,12,136.15,0,Mobile,Location 3
166,62,7,35.10341819,8,6,47.35,0,Mobile,Location 1
167,32,7,18.46728998,4,24,356.5,0,Tablet,Location 3
168,50,5,25.36938614,5,18,164.69,1,Tablet,Location 3
169,22,3,24.48551575,6,9,42.41,0,Tablet,Location 3
170,21,8,35.46707687,9,13,97.91,1,Desktop,Location 3
171,63,4,41.81974677,11,8,37.91,0,Desktop,Location 1
172,29,2,8.338484819,1,24,307.32,0,Desktop,Location 4
173,40,1,23.46177711,7,7,68.89,0,Desktop,Location 5
174,31,7,12.63774233,3,8,73.68,0,Mobile,Location 1
175,63,2,17.0424228,3,18,174.58,0,Desktop,Location 4
176,29,6,14.79523564,2,19,140.72,0,Desktop,Location 5
177,34,5,33.92106341,11,19,166,1,Desktop,Location 2
178,42,7,23.71005451,5,5,51.77,0,Desktop,Location 1
179,47,4,35.21703057,9,6,62.92,0,Tablet,Location 2
180,39,2,9.966201006,1,8,86.06,0,Tablet,Location 2
181,64,8,29.05771251,8,7,75.26,0,Mobile,Location 5
182,43,8,25.05372033,6,9,85.27,1,Desktop,Location 3
183,34,9,30.15879147,7,16,226.09,1,Desktop,Location 5
184,37,1,22.43321355,5,12,61.45,0,Desktop,Location 2
185,51,1,37.0578576,8,22,241.76,0,Mobile,Location 3
186,58,3,22.40604342,5,12,101.97,0,Mobile,Location 3
187,50,7,33.60430525,9,7,54.08,0,Desktop,Location 1
188,54,2,15.10152229,5,25,243.64,0,Desktop,Location 4
189,24,6,30.2748063,8,21,269.23,0,Mobile,Location 3
190,39,2,41.02200697,8,17,167.04,0,Mobile,Location 1
191,49,8,13.65756138,2,20,207.3,0,Desktop,Location 1
192,31,4,21.44802706,3,21,192.73,0,Tablet,Location 2
193,25,4,34.82635885,8,15,169.73,1,Desktop,Location 3
194,42,3,37.01030332,7,9,60.14,1,Tablet,Location 3
195,33,5,29.44815405,8,17,215.45,1,Mobile,Location 2
196,59,6,30.28648443,8,12,97.67,1,Tablet,Location 3
197,36,5,40.42052466,10,15,140.77,0,Tablet,Location 3
198,58,7,21.49906883,4,22,203.09,0,Mobile,Location 2
199,33,9,32.90729917,7,25,237.24,0,Desktop,Location 5
200,29,1,27.44571306,6,16,117.51,1,Desktop,Location 4
201,56,7,23.17155089,5,10,135.87,0,Desktop,Location 1
202,65,8,21.41891384,3,15,103.59,0,Desktop,Location 5
203,47,7,31.18572031,6,21,203.65,0,Desktop,
204,19,6,1,1,20,204.19,0,Mobile,Location 4
205,49,5,26.77421988,6,14,89.45,1,Mobile,Location 4
206,62,8,16.80499134,4,7,67.67,0,Desktop,Location 1
207,42,4,23.28295952,5,10,91.86,0,Mobile,Location 1
208,42,7,29.09838928,6,16,183.73,1,Mobile,Location 5
209,21,4,5,1,22,230.58,0,Desktop,Location 4
210,36,8,13.92398728,3,24,260.93,0,Mobile,Location 5
211,65,9,24.96524975,5,25,233.72,0,Tablet,Location 1
212,21,5,26.63832628,5,11,105.03,1,Desktop,Location 3
213,60,9,29.57950184,6,23,262.47,0,Mobile,Location 5
214,30,3,24.76002663,6,14,129.23,0,Desktop,Location 1
215,56,7,32.85391872,9,8,93.95,1,Tablet,Location 2
216,53,7,28.05637624,7,19,89.98,1,Tablet,Location 2
217,40,6,39.18550088,10,11,126.68,1,Desktop,Location 1
218,23,8,45,9,17,243.7,0,Desktop,Location 2
219,41,9,32.99950699,9,16,152.34,1,Tablet,Location 3
220,61,3,30.51210339,9,14,149.92,1,Mobile,Location 5
221,50,3,19.44652165,4,18,201.98,0,Mobile,Location 4
222,29,1,38.67677059,10,14,151.1,1,Desktop,Location 3
223,58,9,26.50237284,6,16,185.53,1,Tablet,Location 4
224,38,2,21.75708478,6,10,74.04,0,Mobile,Location 1
225,28,8,22.18742699,5,5,41.78,0,Desktop,Location 3
226,61,6,22.8501622,6,12,134.83,0,Desktop,Location 1
227,55,8,33.18901488,8,14,129.45,1,Tablet,Location 2
228,46,6,28.64948981,8,21,130.83,0,Desktop,Location 4
229,65,7,18.73545817,2,19,256.59,0,Desktop,Location 4
230,58,3,42.29738672,7,25,145.41,0,Tablet,Location 4
231,20,8,12.81014333,3,25,193.26,0,Mobile,Location 2
232,45,8,33.90081424,8,13,181.75,1,Desktop,Location 3
233,37,5,39.2776325,10,19,204.85,1,Desktop,Location 3
234,43,4,37.3761287,9,13,136.06,1,Desktop,Location 5
235,41,4,25.31589311,6,25,199.95,0,Desktop,Location 2
236,64,6,32.70414082,8,6,64.14,0,Mobile,Location 2
237,38,6,32.17152706,7,17,209.38,1,Desktop,Location 4
238,47,7,29.23795236,6,16,145.18,1,Mobile,Location 1
239,21,2,34.45560875,9,10,113.81,1,Desktop,Location 5
240,53,3,12.09120039,1,7,59.31,0,Tablet,Location 3
241,57,1,17.56159706,4,6,70.24,0,Mobile,Location 3
242,27,3,31.29110208,9,9,70.94,1,Mobile,Location 3
243,27,6,27.50360971,5,9,107.78,1,Desktop,Location 4
244,59,3,36.60569438,7,23,289.63,0,Desktop,Location 1
245,41,1,5.071084899,1,10,116.58,0,Tablet,Location 3
246,21,4,33.49823476,6,23,230.34,0,Mobile,Location 5
247,64,9,27.84466025,6,10,101.62,1,Desktop,Location 2
248,44,4,19.00998524,4,12,158.15,0,Tablet,Location 1
249,62,2,29.11326139,6,19,166.57,1,Desktop,Location 4
250,21,1,5,1,5,41.39,0,,Location 1
251,49,7,32.00273874,8,7,73.07,0,Desktop,Location 2
252,27,5,22.88775461,6,18,152.92,0,Tablet,Location 4
253,28,7,20.90759425,5,8,72.98,0,Mobile,Location 5
254,45,5,23.61727349,6,13,135.95,0,Desktop,Location 3
255,63,2,35.48254403,9,11,130.48,1,Mobile,Location 2
256,25,4,34.10782701,8,9,72.52,1,Tablet,Location 2
257,57,7,25.74108751,5,17,151.27,1,Tablet,Location 3
258,39,3,39.30337585,8,6,59.95,0,Desktop,Location 4
259,51,9,39.78439135,10,25,272.44,0,Desktop,Location 1
260,62,9,45,12,10,84.89,0,Desktop,Location 2
261,52,3,43.77040019,11,9,82.75,0,Tablet,Location 4
262,52,4,5,1,16,167.3,0,Mobile,Location 5
263,42,3,24.59034651,5,17,139.06,0,Tablet,Location 5
264,51,2,27.82939221,6,25,377.54,0,Desktop,Location 3
265,23,2,12.69027453,3,7,70.01,0,Tablet,Location 3
266,58,6,28.93596697,5,5,43.49,0,Mobile,Location 4
267,54,7,18.90719704,5,23,300.17,0,Desktop,Location 4
268,18,2,40.0010637,9,25,273.49,0,Tablet,Location 4
269,29,8,40.90671008,12,17,236.68,0,Desktop,Location 1
270,52,7,11.73979441,2,19,109.79,0,Desktop,Location 1
271,23,3,28.18408938,8,19,227.28,1,Desktop,Location 1
272,34,3,30.19556424,5,11,92.56,1,Desktop,Location 3
273,26,7,17.49508153,4,9,109.61,0,Mobile,Location 5
274,19,9,43.43479833,10,22,208.36,0,Desktop,Location 4
275,35,6,33.40496524,7,25,275,0,Tablet,Location 4
276,53,7,19.29892529,5,17,159.47,0,Tablet,Location 2
277,45,6,33.99257455,7,25,181.29,0,Tablet,Location 1
278,58,3,40.64181371,9,16,194.57,0,Desktop,Location 5
279,54,9,38.74383394,9,13,103.7,1,Desktop,Location 1
280,43,6,19.61642733,3,25,344.6,0,Desktop,Location 3
281,21,9,26.89794893,6,13,178.17,1,Desktop,Location 5
282,57,9,5,1,7,62.08,0,Desktop,Location 1
283,53,1,12.25505659,3,8,103.42,0,Tablet,Location 1
284,48,1,21.21828585,4,18,207.32,0,Tablet,Location 2
285,47,5,90,12,14,148.45,0,Desktop,Location 4
286,51,5,37.70525576,9,17,192.45,1,Desktop,Location 1
287,36,6,27.41049342,7,18,99.41,1,Desktop,Location 1
288,35,3,27.2928284,6,23,236.13,0,,Location 4
289,47,8,17.98409365,6,23,212.49,0,Desktop,Location 1
290,38,7,16.23851461,4,9,95.13,0,Desktop,Location 5
291,20,2,37.30790397,9,15,157.54,1,,Location 1
292,23,8,15.9305182,4,15,186.62,0,Desktop,Location 4
293,55,3,21.2384619,3,13,137.91,0,Desktop,Location 2
294,30,1,9.11218277,1,18,203.41,0,,Location 4
295,62,7,24.50382345,4,16,171.04,0,Desktop,Location 5
296,20,8,20.2676947,6,5,53.91,0,Mobile,Location 5
297,65,4,23.39716562,4,10,100.12,0,Tablet,Location 3
298,45,4,23.46830636,6,16,113.89,0,Mobile,Location 3
299,39,7,33.85098911,8,13,112.25,1,Desktop,Location 2
300,57,2,16.37896396,3,5,63.33,0,Desktop,Location 1
301,57,2,43.3789484,10,20,251.77,0,Desktop,Location 1
302,29,6,17.35585222,3,25,354.05,0,Mobile,Location 1
303,40,2,27.16667562,7,16,174.71,1,Mobile,Location 4
304,48,2,32.55258132,7,6,72.42,0,Tablet,Location 5
305,35,4,39.96558478,10,20,145.82,1,Desktop,Location 4
306,24,7,45,11,10,102.61,0,Desktop,Location 1
307,25,6,33.66676919,6,5,44.09,0,Desktop,Location 1
308,36,3,27.5147459,7,22,246.92,0,Desktop,Location 4
309,46,2,32.83443215,10,16,172.49,1,Mobile,Location 4
310,61,4,35.75583261,8,10,129.33,1,Tablet,Location 2
311,37,3,20.9452323,4,21,211.82,0,Desktop,Location 2
312,59,2,9.48415363,1,13,109.54,0,Mobile,Location 2
313,47,1,27.30276219,5,17,174.43,1,Tablet,Location 4
314,64,1,24.61413886,4,21,244.2,0,Desktop,Location 5
315,39,6,32.91243471,8,16,184.99,1,Tablet,Location 2
316,27,5,25.73877827,8,13,146.06,1,Tablet,Location 5
317,43,4,11.60185508,1,15,147.8,0,Desktop,Location 4
318,50,9,33.27594763,8,6,62.04,0,Desktop,Location 1
319,45,3,27.43942678,6,6,49.74,0,Desktop,Location 4
320,27,1,17.64162615,4,18,207.7,0,Tablet,Location 3
321,46,5,32.90121906,7,11,108.02,1,Desktop,Location 4
322,61,9,11.73466482,3,8,88.73,0,Desktop,Location 1
323,35,4,22.95330794,5,5,53.98,0,Mobile,Location 4
324,59,8,33.49857433,6,20,177.3,1,Desktop,Location 4
325,18,6,28.29650662,6,12,112.68,1,Tablet,Location 5
326,40,2,16.57458799,4,14,169.48,0,Tablet,Location 5
327,34,4,17.36392721,3,14,193.9,0,Desktop,Location 4
328,60,1,37.0465637,9,23,301.31,0,Desktop,Location 2
329,54,5,25.06916906,5,7,67.27,0,Mobile,Location 2
330,48,2,23.64597159,6,18,198.81,0,Desktop,Location 3
331,42,4,18.53105831,4,20,229.28,0,Mobile,Location 4
332,21,5,31.92852897,8,7,68.82,0,Desktop,Location 5
333,26,9,20.07097441,5,17,153.91,0,,Location 5
334,45,9,25.17130414,6,9,80.18,1,Tablet,Location 4
335,47,6,18.46901938,5,12,147.6,0,Desktop,Location 4
336,64,1,16.91369517,3,19,186.65,0,Desktop,Location 1
337,41,4,38.75921888,8,17,262.73,1,Desktop,Location 1
338,50,6,28.38205097,7,23,196.25,0,Desktop,Location 5
339,37,9,17.85910822,5,21,197.51,0,Desktop,Location 5
340,26,1,15.78062739,5,19,161.29,0,,Location 5
341,25,6,15.18897024,2,16,182.75,0,Desktop,Location 4
342,41,6,33.99965492,9,10,98.05,1,Desktop,Location 5
343,31,9,34.94546115,8,16,218.21,1,,Location 4
344,35,3,33.98592396,8,6,49.08,0,Tablet,Location 3
345,18,1,27.41066728,6,20,170.95,1,Mobile,Location 4
346,29,8,20.94464959,5,25,192.36,0,Mobile,Location 4
347,46,8,9.136587663,1,21,214.58,0,Mobile,Location 4
348,54,1,45,11,18,99.17,0,Desktop,Location 4
349,43,4,17.56009181,5,12,94.59,0,Desktop,Location 2
350,50,2,32.43172392,6,9,123.51,1,Desktop,Location 2
351,60,1,30.22556735,8,14,108.41,1,Desktop,Location 3
352,32,9,23.94056899,5,12,112.52,0,Tablet,Location 4
353,40,1,16.05465047,4,22,193.7,0,Mobile,Location 2
354,46,7,16.53158013,3,19,130.37,0,Desktop,Location 5
355,38,3,33.43832639,10,13,130.08,1,Desktop,Location 2
356,36,2,10.20124231,2,9,90.3,0,Mobile,Location 4
357,22,4,27.23430014,7,7,70.75,0,Desktop,Location 3
358,40,5,23.22204193,5,16,214.79,0,Mobile,Location 2
359,53,6,30.63858573,8,12,155.22,1,Mobile,Location 2
360,37,2,26.33995591,5,8,98.69,1,Tablet,Location 2
361,25,7,24.89569869,6,16,136.55,0,Tablet,Location 4
362,26,2,34.73691295,10,7,55.03,0,Tablet,Location 5
363,31,4,31.60904726,7,12,131.35,1,Mobile,Location 4
364,23,9,21.97881433,4,22,310.56,0,Desktop,Location 4
365,18,3,17.95864008,3,22,231.96,0,Mobile,Location 3
366,26,7,39.60524369,9,25,253.07,0,Desktop,Location 5
367,33,1,31.81166434,7,19,141.05,1,Desktop,Location 2
368,33,5,26.29734656,6,16,158.53,1,Mobile,Location 4
369,29,5,12.63210549,1,7,73.98,0,Desktop,Location 4
370,22,1,35.13448328,8,7,64.49,0,Desktop,Location 1
371,57,4,29.90409089,8,14,128.29,1,Desktop,Location 1
372,46,4,25.33440558,6,20,177.39,1,Desktop,Location 1
373,63,7,34.37146357,8,9,128.55,1,Tablet,Location 2
374,44,8,17.28485082,3,6,45.42,0,Mobile,
375,28,7,26.04724635,6,14,111.99,1,Desktop,Location 2
376,64,8,37.21014463,8,16,144.3,1,Desktop,Location 5
377,45,2,35.39499579,7,16,169.08,1,Mobile,Location 2
378,53,7,31.25608143,5,25,304.56,0,Desktop,Location 2
379,59,9,32.3792227,9,10,93.66,1,Desktop,Location 3
380,36,3,34.83119725,7,9,77.03,1,Desktop,Location 1
381,52,6,18.21502781,5,16,168.15,0,Tablet,Location 4
382,48,1,25.07191086,5,24,262.6,0,Desktop,Location 2
383,61,3,25.6147737,6,12,115.44,1,Desktop,Location 3
384,36,6,27.27616389,5,23,227.84,0,Desktop,Location 4
385,63,4,16.70766529,3,8,71.38,0,Tablet,Location 3
386,41,1,33.27643898,8,11,111.56,1,Desktop,Location 5
387,19,6,22.42096121,5,6,58.06,0,Mobile,Location 1
388,24,3,24.3064964,6,8,74.06,0,Mobile,Location 5
389,60,4,18.38391044,4,22,208.99,0,Desktop,Location 3
390,48,4,23.11207452,6,13,143.94,0,Desktop,Location 4
391,34,1,10.71371213,2,20,237.24,0,Tablet,Location 2
392,44,7,35.28877582,6,17,169.78,1,Desktop,Location 5
393,53,7,33.79752363,8,17,96.9,1,Desktop,Location 2
394,60,2,41.87579627,10,20,141.42,0,Mobile,Location 2
395,27,7,18.25295051,5,22,291.32,0,Desktop,Location 3
396,62,6,10.09509881,2,16,134.08,0,Desktop,Location 2
397,31,7,32.98530842,7,13,133.33,1,Mobile,Location 3
398,24,3,40.67719118,11,22,294.68,0,Desktop,Location 5
399,56,1,28.82175367,8,5,48.41,0,Desktop,Location 4
400,57,2,12.66065483,2,24,335.31,0,Mobile,Location 2
401,26,9,35.58091553,10,19,167.46,1,Tablet,Location 3
402,31,1,23.30029227,4,13,114.37,0,Tablet,Location 1
403,25,5,20.30624724,6,21,144.46,0,Mobile,Location 3
404,34,9,42.99541621,12,17,143.88,0,Tablet,Location 4
405,40,3,18.15150783,5,19,236.23,0,Desktop,Location 4
406,33,8,29.42319002,6,8,59.66,1,Desktop,Location 3
407,43,9,40.89335564,9,16,189.29,0,Desktop,Location 5
408,26,1,26.34040532,6,12,75.37,1,Desktop,Location 3
409,53,7,27.48433269,6,8,53.96,1,Mobile,Location 4
410,24,5,29.77256909,8,19,139.24,1,Tablet,Location 3
411,35,1,35.9584772,10,18,159.24,1,Desktop,Location 5
412,25,6,15.28728627,2,18,112.49,0,Tablet,Location 1
413,38,8,21.30671314,6,15,118.5,0,Mobile,Location 1
414,43,2,39.55593257,9,21,220.03,0,Desktop,Location 3
415,20,3,31.69672342,9,8,84.56,1,Desktop,Location 4
416,34,1,20.66791855,4,12,79.15,0,Desktop,Location 4
417,63,9,32.34533063,8,15,148.32,1,Desktop,Location 5
418,41,6,29.48375137,7,5,54.41,0,Tablet,Location 5
419,42,7,25.8047279,4,14,74.01,1,Desktop,Location 3
420,22,7,34.42842474,7,20,166.69,1,Desktop,Location 1
421,54,4,38.46633687,9,24,299.29,0,Desktop,Location 2
422,62,3,18.64113128,3,25,289.86,0,Tablet,Location 4
423,41,5,23.94080748,6,19,119.66,0,Tablet,Location 1
424,48,2,28.30366157,5,5,57.67,0,Tablet,Location 3
425,43,9,24.51500676,4,16,183.8,0,Mobile,Location 1
426,38,7,35.88013357,7,9,62.87,1,Mobile,Location 3
427,51,3,41.55953852,9,16,162.05,0,Desktop,Location 1
428,55,6,11.40659601,2,13,123.67,0,Tablet,Location 2
429,41,2,23.5035884,7,18,258.64,0,Desktop,Location 5
430,45,7,36.11748468,10,5,42.84,0,Desktop,Location 2
431,47,7,34.55947039,10,9,70.71,1,Desktop,Location 5
432,51,1,24.3931117,5,9,132.03,0,Mobile,Location 4
433,40,4,17.79387731,4,16,183.34,0,Mobile,Location 1
434,25,8,33.21458613,7,17,171.86,1,Tablet,Location 3
435,59,1,15.05920754,4,19,173.6,0,Mobile,Location 5
436,27,7,26.27758774,7,15,97.19,1,Mobile,Location 3
437,18,9,44.90170071,10,7,96.97,0,Tablet,Location 2
438,37,3,18.99198104,4,11,97.48,0,Tablet,Location 3
439,54,9,5,1,9,85,0,Tablet,Location 3
